Listing Name,Price,Room Type,Reviews
"Brand new apt,20min to Manhattan",153,Entire home/apt,14 reviews
"Convenient, Charming & Airy Studio",69,Private room,3 reviews
Relaxed space ~30 min. to the city,35,Shared room,14 reviews
Great 1BR steps from Prospect Park,95,Entire home/apt ,reviews
Gorgeous 1BR near Prospect Park,100,Entire home/apt,12 reviews
Cheerful Room on Prospect Park,120,Private room ,reviews
"Musician's Den, live Jazz in NYC",60,Private room,24 reviews
Big Sunny Bdrm fits 3-4 in E W-burg,65,Private room,54 reviews
Chic Studio Apartment in Bed Stuy,98,Entire home/apt,4 reviews
Alchemy BnB - room in artist loft,96,Private room,100 reviews
Quiet bedroom in an amazing loft,115,Private room,8 reviews
Budget Friendly Large Room,37,Private room,32 reviews
"Lovely, SPACIOUS, Sunny 2 Bed!",120,Entire home/apt,5 reviews
Budget Friendly & Spacious,38,Private room,28 reviews
Modern Apt - Vibrant Neighborhood!,130,Entire home/apt,25 reviews
Sunny Room in New Condo,89,Private room,140 reviews
Private Top Floor Apartment,100,Entire home/apt,5 reviews
Newly Renovated Private Rm by Park!,65,Private room,13 reviews
Comfortable Room Historic Mansion,100,Private room,55 reviews
Private Modern Room in Williamsburg,80,Private room,0 reviews
Moore Bunk - w Free B/Fast,45,Shared room,3 reviews
Bright and spacious 1 bedroom,160,Entire home/apt,29 reviews
Bushwick Oasis,59,Private room,7 reviews
THREE BEDROOM APARTMENT IN BROOKLYN,180,Entire home/apt,13 reviews
Private Studio!,70,Entire home/apt,41 reviews
BIG BROOKLYN ROOM A- NEXT TO METRO!,80,Private room,45 reviews
Brooklyn Style - With a Balcony!!!,65,Private room,77 reviews
SPACIOUS ELEGANT GARDEN APARTMENT,135,Entire home/apt,24 reviews
Awesome Private Room Big Windows,70,Private room,13 reviews
BROWNSTONE ROOM,80,Private room,10 reviews
"Cozy Private Bedroom, Brooklyn",60,Private room,41 reviews
A Breathtaking Brooklyn Experience!,89,Private room,179 reviews
Sunny Studio near Prospect Park,80,Entire home/apt,34 reviews
Nyc! Cozy room in Williamsburg,89,Private room,31 reviews
Mod Bushwick Escape by the L Train,65,Private room,53 reviews
Modern Comfortable Private RM 1,40,Private room,34 reviews
1br in 2br Clinton Hill / Ft Green,45,Private room,10 reviews
Luxury Flat with Outdoor & Office,250,Entire home/apt,48 reviews
Spacious unit on coveted block,169,Entire home/apt,7 reviews
Brooklyn Garden apartment -BedStuy,70,Entire home/apt,3 reviews
Apartment in a Historical Home,180,Entire home/apt,25 reviews
"Queen Bed, Ideal Room and Location!",90,Private room,13 reviews
Sunny Delight with Free Bikes!,75,Private room,41 reviews
AWESOME ROOM IN BEDSTUY BROOKLYN! !,50,Private room,25 reviews
Fabulous Bklyn private bedbathsuite,99,Private room,254 reviews
Private studio by McCarren Park!,94,Private room,41 reviews
Park Slope Green Guest House,135,Entire home/apt,254 reviews
Brooklyn 1BD with Private Entrance,82,Private room,9 reviews
Bed & Garden in Vibrant Brooklyn!,65,Private room,89 reviews
"1 Bdrm in Duplex, Private Bathroom",95,Private room,25 reviews
Large Bedroom 15 Min From Manhattan,50,Private room,83 reviews
Charming Private Brownstone Studio,85,Private room,18 reviews
Sunny Loft 15 min. to Union Square,90,Private room,129 reviews
Pristine and Classic Brooklyn Apt.,115,Entire home/apt,21 reviews
THE Apartment by Prospect Park!,85,Entire home/apt,42 reviews
Crown Heights Garden Apt.,60,Private room,115 reviews
"COZY SUNNY ROOM, BLOCK 4RM TRAIN :)",90,Private room,6 reviews
NEW MODERN LOFT 1 ON BEDFORD AVE!!!,96,Private room,54 reviews
"BEST DEAL IN BROOKLYN, FULL SIZE BD",45,Private room,96 reviews
Brooklyn Bedroom 8 Min From City,69,Private room,33 reviews
Comfy Room in Huge Crown Hts Apt,36,Private room ,reviews
Jefferson Bunk - w Free B/Fast,45,Shared room,3 reviews
Cozy Full Bed with Private Entrance,60,Private room,22 reviews
Beautiful Halsey Street Room,70,Private room,6 reviews
Huge Private  Floor at The Waverly,135,Private room,32 reviews
Lounge in Lefferts Garden for $29,29,Shared room,20 reviews
South Slope Pied-A-Terre Studio,135,Entire home/apt,26 reviews
Beautiful flat - prime Williamsburg,140,Entire home/apt,36 reviews
★ Brighton Beach Suit ★,65,Private room,22 reviews
Lovely bedroom - arty garden apt!,79,Private room,25 reviews
"Fab, Cozy Brownstone Apt in BedStuy",95,Entire home/apt,96 reviews
BkOasis4 Twin/Full Bunk Bed Ltrain!,64,Private room,4 reviews
Sunny Retreat with Roof Garden,85,Entire home/apt,123 reviews
Explore Brooklyn!,54,Private room,9 reviews
Cozy bedroom in Williamsburg!,35,Private room,0 reviews
Nice & bright room in Bushwick,39,Private room,39 reviews
2 bedroom apt in brick townhouse,115,Entire home/apt,53 reviews
Studio in great neighborhood,80,Entire home/apt,6 reviews
Priv. Room- Light-Filled Apt w Gym,90,Private room,9 reviews
"Dreamy, Sunbathed Brownstone Apt.",67,Entire home/apt ,reviews
Beautiful rooftop studio apartment,75,Entire home/apt,72 reviews
Cozy bedroom in Williamsburg!,35,Private room,0 reviews
Brooklyn private room. (Small room),40,Private room,33 reviews
Pristine Room and Art Experience,120,Private room,47 reviews
Garden Apartment in Townhouse,163,Entire home/apt,44 reviews
Cozy 2 Bedroom Bushwick Retreat,145,Entire home/apt,39 reviews
Private  Room - 15 min to Manhattan,69,Private room,38 reviews
Comfy Room in Huge Crown Hts Apt,36,Private room ,reviews
Cozy Full Bed with Private Entrance,60,Private room,22 reviews
PRIVATE SUITE BEDROOMS WITH A DECK!,80,Entire home/apt,30 reviews
Private Room in Prime Brooklyn Spot,89,Private room,29 reviews
"Sunny room, peaceful house, bikes!",70,Private room,46 reviews
Sunny Retreat with Roof Garden,85,Entire home/apt,123 reviews
Huge Private  Floor at The Waverly,135,Private room,32 reviews
BKLYN Brownstone: Vintage Getaway!,175,Entire home/apt ,review
South Slope Pied-A-Terre Studio,135,Entire home/apt,26 reviews
Jefferson Bunk - w Free B/Fast,45,Shared room,3 reviews
New Private Bath Master Bedroom,58,Private room,20 reviews
The Black and White Loft,90,Private room,46 reviews
Good-Win Place,105,Entire home/apt,16 reviews
Cozy room with Pvt Entrance Sleep 1,45,Private room,27 reviews
Luxurious Brooklyn Studio!,100,Entire home/apt,7 reviews
Explore Brooklyn!,54,Private room,9 reviews
Cozy Room in terrific neighborhood,50,Private room,16 reviews
Lovely bedroom - arty garden apt!,79,Private room,25 reviews
Art Collector's Brooklyn Hideaway,95,Private room,6 reviews
★ Brighton Beach Suit ★,65,Private room,22 reviews
Comfy Studio Apartment in Bed Stuy,99,Entire home/apt,10 reviews
Williamsburg/Greenpoint Studio,145,Entire home/apt,41 reviews
Beautiful Halsey Street Room,70,Private room,6 reviews
2 bedroom apt in brick townhouse,115,Entire home/apt,53 reviews
Beautiful flat - prime Williamsburg,140,Entire home/apt,36 reviews
Large Room in a Brooklyn House,80,Private room,9 reviews
BkOasis4 Twin/Full Bunk Bed Ltrain!,64,Private room,4 reviews
Troutman Bunk,39,Shared room,3 reviews
Spacious One Bedroom in Brooklyn,65,Private room,14 reviews
Beautiful Bushwick - 3BR Apartment,174,Entire home/apt,30 reviews
Charming studio apartment!,125,Entire home/apt,72 reviews
Beautiful Room in Modern BK Apt,70,Private room,12 reviews
Skylight BR in Gorgeous Rooftop Apt,79,Private room,116 reviews
Loft in Brooklyn w/AC!!! JULY SALE,150,Entire home/apt,45 reviews
Room in intentional community,44,Private room ,review
Bright and Spacious Brooklyn Studio,95,Entire home/apt,10 reviews
Sweet Luxe Bed w/Private Backyard,63,Private room,11 reviews
"Comfortable, Lovely Room on L Train",59,Private room,46 reviews
South Slope Private Basement Studio,85,Private room,36 reviews
Comfy and calm bedroom - Brooklyn,65,Private room,11 reviews
"Huge Sunny Private Bedroom, 1st FL",95,Private room,32 reviews
Bright and Airy Brooklyn Abode,145,Entire home/apt,7 reviews
"Sunny Rm #2, A/C, bike, Prospect Pk",50,Private room,51 reviews
"East River Queen, & outdoor deck!",175,Entire home/apt,82 reviews
NICE ROOM #1 ~ AWESOME LOCATION!!!,165,Private room,15 reviews
Sunny Bedroom In Vibrant Brooklyn!,65,Private room,86 reviews
Restored 1910 Brooklyn Loft Suite,128,Entire home/apt,21 reviews
Private Room Right by Subway,62,Private room,6 reviews
Stay in super cool williamsburg! :),85,Private room,20 reviews
Quiet classic charmer in the trees,190,Entire home/apt,35 reviews
Beautiful Private Rm in Brownstone,60,Private room,18 reviews
LOFT+OFFICE in Artist's B&B!,123,Private room,123 reviews
Brooklyn Creative Snooze Factory,65,Private room,28 reviews
Brooklyn Zen Gem Serenity Bedroom,75,Private room,9 reviews
"Stay in Bushwick, Brooklyn!",54,Private room,23 reviews
Warm and Cozy Brooklyn Studio!,90,Entire home/apt,13 reviews
"Cozy, Convenient, Clean & Colorful!",65,Private room,6 reviews
Cozy Room In Vibrant Brooklyn!,49,Private room,107 reviews
Cute Studio apt. Close to Subway,95,Entire home/apt,11 reviews
"Sunny Rm #3, A/C, bike, Prospect Pk",50,Private room,57 reviews
Lavender Joy Room in Duplex!,50,Private room,45 reviews
"Lrg Apt in trendy Prospect Hts, Bk",135,Entire home/apt,66 reviews
Big sunny rm in beautiful home,60,Private room,35 reviews
